id,address,categories,city,country,cuisines,dateAdded,dateUpdated,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.category,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,websites
AVwc1pr3_7pvs4fzzf3t,5760 Seminole Way,"Mexican Restaurant, Steakhouse, and Nightclub,Mexican Restaurant,Steakhouse,Nightclub,Restaurant,Restaurants",Fort Lauderdale,US,Mexican,2015-10-19T20:40:30Z,2017-02-09T21:20:53Z,us/daniabeach/fortlauderdale/5760seminoleway/1793184571,26.050965,-80.209722,http://www.citysearch.com/profile/menu/602024113?singlePlatformId=tequila-ranch-2,19.0,19.0,Especialidades,USD,2016-04-24T00:00:00Z,"homemade corn tortillas, lettuce, pico de gallo, sauteed shrimp, chipotle aioli.",Chipotle Shrimp Tacos,Tequila Ranch,33314,USD,25.0,40.0,Dania Beach,"http://www.tequilaranch.com,http://www.tequilaranch.com/,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJEQRIfhzWNfe7zGnR1DyI4HWtx0CzGZK10gFfzaEh8nSgYfLMyKNDWSVeEfInnrvVWG5-Jitq3vn7Q6QhcCv6BTs9N1hx7MqBWTY9znSaki_ml3aQyPp2XfE0WXhHNeTvTcrerYLz9mbY9vrFp1fqaAw8KLoQ-Pw8biyLcx6RNANw4-4JS3A5yGNrqcYX_T-1W6xysJxvfsUmia21y3AfPhVpSJrh57QZr9ksM7Ba_DlSQdIe7usGmCD482XuP3w8ArVRXVyzgDRq81qOtzZIBajq_axAzhG8jsnwe0aMqMCz1CIhNgdGYujwKYslplQArs4NKZQJHL83qN9Ussge3cBcmV2z-J8pbGCJRdDmS4I&placement=listing_profile&cs_user=unknown&cs_session=e3ca3674b0ff8c958ec55f291772bec18c1fd9d7"
AVwc1pr3_7pvs4fzzf3t,5760 Seminole Way,"Mexican Restaurant, Steakhouse, and Nightclub,Mexican Restaurant,Steakhouse,Nightclub,Restaurant,Restaurants",Fort Lauderdale,US,Mexican,2015-10-19T20:40:30Z,2017-02-09T21:20:53Z,us/daniabeach/fortlauderdale/5760seminoleway/1793184571,26.050965,-80.209722,http://www.citysearch.com/profile/menu/602024113?singlePlatformId=tequila-ranch-2,19.0,19.0,Especialidades,USD,2016-04-24T00:00:00Z,"homemade corn tortillas, blackened fish.",Blackened Fish Tacos,Tequila Ranch,33314,USD,25.0,40.0,Dania Beach,"http://www.tequilaranch.com,http://www.tequilaranch.com/,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJEQRIfhzWNfe7zGnR1DyI4HWtx0CzGZK10gFfzaEh8nSgYfLMyKNDWSVeEfInnrvVWG5-Jitq3vn7Q6QhcCv6BTs9N1hx7MqBWTY9znSaki_ml3aQyPp2XfE0WXhHNeTvTcrerYLz9mbY9vrFp1fqaAw8KLoQ-Pw8biyLcx6RNANw4-4JS3A5yGNrqcYX_T-1W6xysJxvfsUmia21y3AfPhVpSJrh57QZr9ksM7Ba_DlSQdIe7usGmCD482XuP3w8ArVRXVyzgDRq81qOtzZIBajq_axAzhG8jsnwe0aMqMCz1CIhNgdGYujwKYslplQArs4NKZQJHL83qN9Ussge3cBcmV2z-J8pbGCJRdDmS4I&placement=listing_profile&cs_user=unknown&cs_session=e3ca3674b0ff8c958ec55f291772bec18c1fd9d7"
AVwc1pr3_7pvs4fzzf3t,5760 Seminole Way,"Mexican Restaurant, Steakhouse, and Nightclub,Mexican Restaurant,Steakhouse,Nightclub,Restaurant,Restaurants",Fort Lauderdale,US,Mexican,2015-10-19T20:40:30Z,2017-02-09T21:20:53Z,us/daniabeach/fortlauderdale/5760seminoleway/1793184571,26.050965,-80.209722,http://www.citysearch.com/profile/menu/602024113?singlePlatformId=tequila-ranch-2,15.0,15.0,Especialidades,USD,2016-04-24T00:00:00Z,"homemade corn tortillas, sauteed vegetable, black beans.",Vegetarian Tacos,Tequila Ranch,33314,USD,25.0,40.0,Dania Beach,"http://www.tequilaranch.com,http://www.tequilaranch.com/,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJEQRIfhzWNfe7zGnR1DyI4HWtx0CzGZK10gFfzaEh8nSgYfLMyKNDWSVeEfInnrvVWG5-Jitq3vn7Q6QhcCv6BTs9N1hx7MqBWTY9znSaki_ml3aQyPp2XfE0WXhHNeTvTcrerYLz9mbY9vrFp1fqaAw8KLoQ-Pw8biyLcx6RNANw4-4JS3A5yGNrqcYX_T-1W6xysJxvfsUmia21y3AfPhVpSJrh57QZr9ksM7Ba_DlSQdIe7usGmCD482XuP3w8ArVRXVyzgDRq81qOtzZIBajq_axAzhG8jsnwe0aMqMCz1CIhNgdGYujwKYslplQArs4NKZQJHL83qN9Ussge3cBcmV2z-J8pbGCJRdDmS4I&placement=listing_profile&cs_user=unknown&cs_session=e3ca3674b0ff8c958ec55f291772bec18c1fd9d7"
AVwc1pr3_7pvs4fzzf3t,5760 Seminole Way,"Mexican Restaurant, Steakhouse, and Nightclub,Mexican Restaurant,Steakhouse,Nightclub,Restaurant,Restaurants",Fort Lauderdale,US,Mexican,2015-10-19T20:40:30Z,2017-02-09T21:20:53Z,us/daniabeach/fortlauderdale/5760seminoleway/1793184571,26.050965,-80.209722,http://www.citysearch.com/profile/menu/602024113?singlePlatformId=tequila-ranch-2,15.0,15.0,Aperitivos,USD,2016-04-24T00:00:00Z,"three gourmet tacos, homemade corn tortillas, skirt steak, spicy tinga de pollo, cochinita pibil.",Trio De Tacos,Tequila Ranch,33314,USD,25.0,40.0,Dania Beach,"http://www.tequilaranch.com,http://www.tequilaranch.com/,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJEQRIfhzWNfe7zGnR1DyI4HWtx0CzGZK10gFfzaEh8nSgYfLMyKNDWSVeEfInnrvVWG5-Jitq3vn7Q6QhcCv6BTs9N1hx7MqBWTY9znSaki_ml3aQyPp2XfE0WXhHNeTvTcrerYLz9mbY9vrFp1fqaAw8KLoQ-Pw8biyLcx6RNANw4-4JS3A5yGNrqcYX_T-1W6xysJxvfsUmia21y3AfPhVpSJrh57QZr9ksM7Ba_DlSQdIe7usGmCD482XuP3w8ArVRXVyzgDRq81qOtzZIBajq_axAzhG8jsnwe0aMqMCz1CIhNgdGYujwKYslplQArs4NKZQJHL83qN9Ussge3cBcmV2z-J8pbGCJRdDmS4I&placement=listing_profile&cs_user=unknown&cs_session=e3ca3674b0ff8c958ec55f291772bec18c1fd9d7"
AVwc20L3IN2L1WUfppL2,123 12th Ave N,"Indian Restaurant,Pub",Nashville,US,"Indian, British, Southern",2016-03-29T04:58:11Z,2016-10-04T03:45:14Z,us/tn/nashville/12312thaven/-1125161109,36.157638,-86.78854,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QaTrQRGS9JDMwo8PUyHd1VNwhM8WaEt7sPdlR9EBb3knYt6L7Xo0dA59HPfS0mavGWuOG1P9Eu6kjZIKmPqtXz8U9J2sPz1IeCEHul-oG8bCHndVwQ28vdLO16q-h3T5pJ5aOYGDK-Iuzbl4uwM4CymYbPJMmOnyjDojXVNkkFZk6fzlWzvN_HLl_XMYy2SIMaZutRZtkZ-Cv9VkXWEnS0L0uCXCSe0cl7t0k91F3YXBLey64oLjyEiGA_Uc8ZuOvI1nQ5lW_9NaE1RMn9TdxU2ztoG4acNSWo-EwoW35t9RMRv8l2DtmLpuOEtL_79IglIkr0kYP9gcAsw6pK-4_pLc6l99H0RIXhrZ2zyyCEHMbOKRDXinMuopPuWcQSXIxjaI-2c1DhfqUjbvTCHjFWM2dV0HkPlTuG3Jw0Hwn_EbvmNRXH7vRgDGfMuiIfzq0kTH-0AM78GJ&placement=listing_profile&cs_user=unknown&cs_session=0f840bb0272e8c9cafe1923abefe1d6f16bc7631,14.0,14.0,The Essentials,USD,2016-08-22T00:00:00Z,"Vindaloo sausage, scrambled eggs, malaysian parantha, kachumber, mango mint chutney",Breakfast Parantha Taco,Chauhan Ale and Masala House,37203,USD,50.0,55.0,TN,http://www.chauhannashville.com
AVwc-58TByjofQCxkR-n,2000 Smallman St,Restaurants,Pittsburgh,US,Jamaican,2016-05-28T20:39:23Z,2016-08-26T14:40:20Z,us/pitt/pittsburgh/2000smallmanst/3284702,40.451667,-79.98424,http://www.citysearch.com/profile/menu/8619663?singlePlatformId=kaya,14.0,14.0,Tropas,USD,2016-08-23T00:00:00Z,"lime, red onion, cilantro, avocado, romaine lettuce, crispy corn tortilla",Lobster Tacos,Kaya,15222,USD,0.0,30.0,Pitt,http://www.bigburrito.com/kaya
AVwc-58TByjofQCxkR-n,2000 Smallman St,Restaurants,Pittsburgh,US,Jamaican,2016-05-28T20:39:23Z,2016-08-26T14:40:20Z,us/pitt/pittsburgh/2000smallmanst/3284702,40.451667,-79.98424,http://www.citysearch.com/profile/menu/8619663?singlePlatformId=kaya,13.0,13.0,Entradas,USD,2016-08-23T00:00:00Z,"cabbage slaw, avocado, spicy creme fraiche, cilantro, tortillas, kaya salad",Crispy Fish Tacos,Kaya,15222,USD,0.0,30.0,Pitt,http://www.bigburrito.com/kaya
AVwc-58TByjofQCxkR-n,2000 Smallman St,Restaurants,Pittsburgh,US,Jamaican,2016-05-28T20:39:23Z,2016-08-26T14:40:20Z,us/pitt/pittsburgh/2000smallmanst/3284702,40.451667,-79.98424,http://www.citysearch.com/profile/menu/8619663?singlePlatformId=kaya,12.0,12.0,Entradas,USD,2016-08-23T00:00:00Z,"carrot, radish, cilantro, cucumber, jalapeno, yuzu mayo, tortillas",Tempura Avocado Bahn Mi Tacos,Kaya,15222,USD,0.0,30.0,Pitt,http://www.bigburrito.com/kaya
AVwc-58TByjofQCxkR-n,2000 Smallman St,Restaurants,Pittsburgh,US,Jamaican,2016-05-28T20:39:23Z,2016-08-26T14:40:20Z,us/pitt/pittsburgh/2000smallmanst/3284702,40.451667,-79.98424,http://www.citysearch.com/profile/menu/8619663?singlePlatformId=kaya,9.0,9.0,Sandwiches,USD,2016-08-23T00:00:00Z,"scrambled eggs, peppers, onions, Jack cheese, bacon, pineapple-chipotle salsa, spicy sour cream",Burrito,Kaya,15222,USD,0.0,30.0,Pitt,http://www.bigburrito.com/kaya
AVwc9_MHkufWRAb507I_,1855 Purdy Ave,Restaurants,Miami Beach,US,Contemporary American,2015-10-20T04:23:17Z,2016-09-17T12:17:27Z,us/venetianislands/miamibeach/1855purdyave/-2000477955,25.79433,-80.144113,http://www.citysearch.com/profile/menu/2504852?singlePlatformId=icebox-cafe,15.0,15.0,Favorites,USD,2016-08-21T00:00:00Z,"refried beans, scrambled eggs, Mexican salsa verde, queso blanco",Breakfast Burrito,Icebox Cafe,33139,USD,0.0,30.0,Venetian Islands,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1DttpQ3p9Bvj7cG6wFaoD-zI-HOzgyPKdlzldgnKBEgrAxqfpa5umXU9ghisJ7-H_cFW-zkDPpVkeT88BMyCe00k5NRYGxeXS4OY62KRxw3GhlnoInuqGzeogffQZnuwKvUx3lVUaVI6qld-bWGJy1LQhVxeaRrwIIx1WxFRlMUjflr7ow1Cv6kGAf4VEoR3MSid6scNEoCzikpgFYP-Ivva1Gwovqm9ZjWu3xriLsT3ORNkfIM_-hh6b4i5o89TAOcvJcNU9k7JhAoTAFHQzUABzKOgfPrC496dU544ZnEN-7B8yJeIO4_Ex5Rsb8fGcZqvzeQQGq_uEBz3ZoCPYbsCVcCN4UFJLeryP6XR83UBIlk&placement=listing_profile.b&cs_user=unknown&cs_session=3e004024306499d686de1c83924882e40a2b3220
